Hotel_Name,Property_type,Room_type,Bed_type,Min_nights,Max_nights,No_of_reviews,Accomodates,Bedrooms,Beds,Bathrooms,Price,Security_deposit,Cleaning_fee,Guests,Host_name,Host_location,Host_response,Host_total_listings,Street,Suburb,Gov_area,Market,Country,Coun_code,Longitude,Latitude,Availability_30,Availability_60,Availability_90,Availability_365,Accuracy_score,Clean_score,Checkin_score,Communication_score,Location_score,Value_score,Rating
Sydney City Elegance & Pool.,Entire home/apt,Entire home/apt,Real Bed,2,1125,41,2,1,0,1,148,300,109,1,Johannes,"Sydney, New South Wales, Australia",100,33,"Sydney, NSW, Australia",Central Business District,Sydney,Sydney,Australia,AU,151.21034,-33.86657,7,17,36,95,10,9,10,9,10,9,92
Bright and Spacious apartment,Entire home/apt,Entire home/apt,Real Bed,7,30,2,5,1,3,2,166,500,90,1,Hafid,"Sydney, New South Wales, Australia",0,1,"Rosebery, NSW, Australia",Rosebery,Sydney,Sydney,Australia,AU,151.20801,-33.91599,0,0,0,0,9,8,9,10,9,9,80
Room Free Breakfast close to Hagia Sophia401,Private room,Private room,Real Bed,1,1125,0,2,1,2,1,127,0,0,1,Yusuf,"Istanbul, İstanbul, Turkey",100,7,"Fatih, İstanbul, Turkey",Sultanahmet,Fatih,Istanbul,Turkey,TR,28.96401,41.00537,12,24,42,317,0,0,0,0,0,0,0
Newly renovated Paddington Terrace,Entire home/apt,Entire home/apt,Real Bed,2,30,0,4,2,2,1,235,450,150,1,Riley,"Sydney, New South Wales, Australia",0,1,"Paddington, NSW, Australia",Paddington,Woollahra,Sydney,Australia,AU,151.22471,-33.88175,0,0,0,0,0,0,0,0,0,0,0
"Private Room's ""Gaya"" (Nº2) Low-Cost",Private room,Private room,Real Bed,1,30,25,2,1,1,1,15,100,20,1,Filipe,"Vila Nova de Gaia, Porto District, Portugal",100,3,"Vila Nova de Gaia, Porto, Portugal",,Santa Marinha e São Pedro da Afurada,Porto,Portugal,PT,-8.63152,41.12074,30,60,90,180,10,10,10,10,9,10,98
Flat NO EXTRA taxes.,Entire home/apt,Entire home/apt,Real Bed,5,20,4,2,1,2,1,399,0,0,1,Marcello,"Rio, Rio de Janeiro, Brazil",0,1,"Rio, Rio de Janeiro, Brazil",Ipanema,Ipanema,Rio De Janeiro,Brazil,BR,-43.20292557199069,-22.981579889918926,13,13,13,13,10,10,10,10,9,10,100
*THE NEW YORKER * Downtown-Centre Ville,Entire home/apt,Entire home/apt,Real Bed,1,1125,27,5,1,2,1,76,0,49,2,Carolina,"Montreal, Quebec, Canada",100,2,"Montreal, QC, Canada",Downtown Montreal,Ville-Marie,Montreal,Canada,CA,-73.5796,45.49285,16,41,53,100,9,9,10,10,10,9,87
"Quiet area, Wan Chai Centre, Near Tram station",Entire home/apt,Entire home/apt,Real Bed,4,1125,17,7,2,3,1,950,1500,400,4,Cherry,Hong Kong,98,6,"Hong Kong, Hong Kong Island, Hong Kong",Wan Chai,Wan Chai,Hong Kong,Hong Kong,HK,114.17093,22.27793,11,26,56,99,9,10,10,9,10,9,87
2 level Modern Loft in CBD -B3,Entire home/apt,Entire home/apt,Real Bed,2,28,62,4,1,3,1,161,300,70,2,Jason,"Sydney, New South Wales, Australia",100,2,"Surry Hills, NSW, Australia",Surry Hills,Sydney,Sydney,Australia,AU,151.20861,-33.88709,7,31,61,62,9,9,10,9,10,9,89
Espaço maravilhoso no Estácio,Private room,Private room,Real Bed,1,60,0,1,1,1,1,104,0,40,1,Adriana,"Rio de Janeiro, State of Rio de Janeiro, Brazil",25,2,"Rio de Janeiro, Rio de Janeiro, Brazil",Santa Teresa,Santa Teresa,Rio De Janeiro,Brazil,BR,-43.19306782705259,-22.916146943684616,21,51,81,356,0,0,0,0,0,0,0
Well located,Private room,Private room,Real Bed,7,1125,0,1,1,1,1,33,0,0,1,Carlos,"Warriewood, New South Wales, Australia",0,1,"Warriewood, NSW, Australia",,Pittwater,Sydney,Australia,AU,151.30397,-33.69212,0,0,0,0,0,0,0,0,0,0,0
Water View 2 Bedroom Apartment,Entire home/apt,Entire home/apt,Real Bed,1,1125,78,6,2,5,2,259,500,100,4,Oriel,"Sydney, New South Wales, Australia",95,4,"Sydney, NSW, Australia",Central Business District,Sydney,Sydney,Australia,AU,151.20415,-33.8695,2,12,22,162,10,9,10,10,10,9,93
Alugo quarto c garagem,Private room,Private room,Real Bed,1,1125,0,2,1,1,1,298,0,0,1,Rosa,BR,0,1,"Rio, Rio de Janeiro, Brazil",,Freguesia (Jacarepaguá),Rio De Janeiro,Brazil,BR,-43.34070126558797,-22.92720713050604,30,60,90,365,0,0,0,0,0,0,0
Studio Copa,Entire home/apt,Entire home/apt,Real Bed,2,1125,35,2,0,1,1,101,0,0,1,Arnobio,"Copacabana, State of Rio de Janeiro, Brazil",100,3,"Copacabana, Rio de Janeiro, Brazil",Copacabana,Copacabana,Rio De Janeiro,Brazil,BR,-43.189304204978704,-22.978756685779924,5,5,5,45,9,9,10,9,10,9,87
Blue House Apartment 2 • Parking,Entire home/apt,Entire home/apt,Real Bed,1,1125,45,4,1,1,1,60,88,22,2,Carolina,"Porto, Porto District, Portugal",100,49,"Porto, Porto, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,-8.61661,41.14697,18,45,70,300,10,10,10,10,10,10,97
Porto-City Park,Entire home/apt,Entire home/apt,Real Bed,3,1125,15,6,3,3,2,120,0,50,1,Teodemiro,"Peñafiel, Castile and León, Spain",0,1,"Porto, Porto District, Portugal",,"Aldoar, Foz do Douro e Nevogilde",Porto,Portugal,PT,-8.66375,41.1648,29,59,89,364,9,9,9,9,8,9,83
Bright and well located apartment,Private room,Private room,Real Bed,2,5,0,2,1,1,1,64,0,0,1,Melody,"Montreal, Quebec, Canada",0,1,"Montréal, Québec, Canada",Cote-des-Neiges-Notre-Dame-de-Grace,Côte-des-Neiges-Notre-Dame-de-Grâce,Montreal,Canada,CA,-73.60968,45.47234,23,53,83,83,0,0,0,0,0,0,0
"Studio Ángel ""Plaza De España""",Entire home/apt,Entire home/apt,Real Bed,32,1125,1,2,0,2,1,50,500,50,1,Apartments Toni Space Barcelona,"Barcelona, Catalonia, Spain",100,11,"Barcelona, Catalunya, Spain",Eixample,Hostafrancs,Barcelona,Spain,ES,2.14587,41.37808,0,0,0,243,8,8,10,10,10,6,100
"Tuyap fuar alanına yakın lux rezidence,apartment",Entire home/apt,Entire home/apt,Real Bed,1,1125,0,2,1,1,1,190,0,0,2,Halit,"Istanbul, Istanbul, Turkey",100,14,"İstanbul, İstanbul, Turkey",,Esenyurt,Istanbul,Turkey,TR,28.62642,41.02622,30,60,90,365,0,0,0,0,0,0,0
Apartamento de dois quartos em Copacabana,Entire home/apt,Entire home/apt,Real Bed,3,1125,0,4,2,3,2,298,0,0,1,Renata,BR,0,1,"Copacabana, Rio de Janeiro, Brazil",Copacabana,Copacabana,Rio De Janeiro,Brazil,BR,-43.1854607821627,-22.96905050322832,0,0,0,0,0,0,0,0,0,0,0
3 bed room,Private room,Private room,Real Bed,2,1125,28,3,1,3,1,30,0,0,1,Porto,"Porto, Porto District, Portugal",100,6,"Porto, Porto, Portugal",,Bonfim,Porto,Portugal,PT,-8.60069,41.14476,19,42,54,317,10,9,10,10,9,9,95
Large Townhouse Prime Location Surry Hills & City,Entire home/apt,Entire home/apt,Real Bed,1,1125,2,6,3,3,1,451,0,80,1,Tarah,"Sydney, New South Wales, Australia",100,4,"Surry Hills, NSW, Australia",Surry Hills,Sydney,Sydney,Australia,AU,151.21391,-33.88587,4,32,32,97,10,8,10,10,10,10,80
A cozy room in BJK,Private room,Private room,Real Bed,1,1125,1,1,0,1,1,548,0,0,1,Fırat,"Beyoğlu, Istanbul, Turkey",0,1,"Beşiktaş, İstanbul, Turkey",Beşiktaş,Besiktas,Istanbul,Turkey,TR,29.00155,41.04642,30,60,90,90,10,10,10,10,10,10,100
CHARMING HOUSE WITH TERRACE - JEAN TALON MARKET,Entire home/apt,Entire home/apt,Real Bed,31,180,16,4,2,2,1,150,600,75,4,Christopher,"Montreal, Quebec, Canada",100,1,"Montréal, Québec, Canada",Mile End,Rosemont-La Petite-Patrie,Montreal,Canada,CA,-73.60694,45.53192,0,5,35,310,10,10,10,10,10,10,95
"Oceanside Peace in Paradise - 3 bdrm, 2 bath",Entire home/apt,Entire home/apt,Real Bed,7,1125,0,6,3,3,2,750,300,250,1,Jackie,,100,3,"Kailua, HI, United States",Oʻahu,Koolaupoko,Oahu,United States,US,-157.7242,21.39336,18,35,55,272,0,0,0,0,0,0,0
